HGNC	criteria
PRIM1	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKACB	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKAG1	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKAR1A	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKAR2A	'Association of genetic variants and gene expression levels with longevity'
PRKAR2B	'Changes in gene activity extend mammalian lifespan'
PRKAR2B	'Changes in gene activity protect against age-related impairment'
PRKCA	'Age-related changes in gene expression, methylation or protein activity'
PRKCA	'Changes in gene activity enhance age-related deterioration'
PRKCA	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKCB	'Association of genetic variants and gene expression levels with longevity'
PRKCB	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKCD	'Age-related changes in gene expression, methylation or protein activity'
PRKCD	'Changes in gene activity protect against age-related impairment'
PRKCD	'Association of genetic variants and gene expression levels with longevity'
PRKCD	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKCG	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKCH	'Association of genetic variants and gene expression levels with longevity'
PRKCH	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKCI	'Association of genetic variants and gene expression levels with longevity'
PRKCQ	'Association of genetic variants and gene expression levels with longevity'
PRKCZ	'Age-related changes in gene expression, methylation or protein activity in humans'
PRKD3	'Association of genetic variants and gene expression levels with longevity'
PRKDC	'Age-related changes in gene expression, methylation or protein activity'
PRKDC	'Regulation of genes associated with aging'
PRKDC	'Changes in gene activity protect against age-related impairment'
PRKDC	'Changes in gene activity reduce mammalian lifespan'
PRKDC	'Changes in gene activity enhance age-related deterioration'
PRL	'Age-related changes in gene expression, methylation or protein activity in humans'
PRMT2	'Age-related changes in gene expression, methylation or protein activity in humans'
PRNP	'Age-related changes in gene expression, methylation or protein activity in humans'
PROP1	'Changes in gene activity extend mammalian lifespan'
PROP1	'Regulation of genes associated with aging'
PROP1	'Changes in gene activity protect against age-related impairment'
PROX2	'Association of genetic variants and gene expression levels with longevity'
PRPF3	'Age-related changes in gene expression, methylation or protein activity in humans'
PRPF31	'Age-related changes in gene expression, methylation or protein activity in humans'
PRPF40A	'Age-related changes in gene expression, methylation or protein activity in humans'
PRPS1	'Age-related changes in gene expression, methylation or protein activity in humans'
PRR5	'Age-related changes in gene expression, methylation or protein activity in humans'
PRR5L	'Association of genetic variants and gene expression levels with longevity'
PRR5L	'Age-related changes in gene expression, methylation or protein activity'
PSEN1	'Association of the gene with accelerated aging in humans'
PSEN1	'Age-related changes in gene expression, methylation or protein activity'
PSEN1	'Regulation of genes associated with aging'
PSEN1	'Changes in gene activity enhance age-related deterioration'
PSG7	'Association of genetic variants and gene expression levels with longevity'
PSMB4	'Age-related changes in gene expression, methylation or protein activity in humans'
PSMC6	'Age-related changes in gene expression, methylation or protein activity in humans'
PSMD5	'Age-related changes in gene expression, methylation or protein activity in humans'
PSME3IP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PSORS1C3	'Association of genetic variants and gene expression levels with longevity'
PSRC1	'Association of genetic variants and gene expression levels with longevity'
PTBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PTBP3	'Age-related changes in gene expression, methylation or protein activity in humans'
PTEN	'Changes in gene activity extend mammalian lifespan'
PTEN	'Age-related changes in gene expression, methylation or protein activity'
PTEN	'Age-related changes in gene expression, methylation or protein activity in humans'
PTEN	'Regulation of genes associated with aging'
PTEN	'Changes in gene activity reduce mammalian lifespan'
PTEN	'Changes in gene activity reduce non-mammalian lifespan'
PTEN	'Changes in gene activity extend non-mammalian lifespan'
PTEN	'Changes in gene activity protect against age-related impairment'
PTEN	'Association of genetic variants and gene expression levels with longevity'
PTGDR	'Age-related changes in gene expression, methylation or protein activity in humans'
PTGER2	'Age-related changes in gene expression, methylation or protein activity in humans'
PTGES2	'Age-related changes in gene expression, methylation or protein activity in humans'
PTGR1	'Age-related changes in gene expression, methylation or protein activity in humans'
PTGS2	'Age-related changes in gene expression, methylation or protein activity'
PTGS2	'Age-related changes in gene expression, methylation or protein activity in humans'
PTGS2	'Changes in gene activity protect against age-related impairment'
PTGS2	'Changes in gene activity reduce mammalian lifespan'
PTGS2	'Changes in gene activity enhance age-related deterioration'
PTK2	'Association of genetic variants and gene expression levels with longevity'
PTK2	'Age-related changes in gene expression, methylation or protein activity in humans'
PTP4A2	'Age-related changes in gene expression, methylation or protein activity in humans'
PTPN1	'Age-related changes in gene expression, methylation or protein activity'
PTPN1	'Regulation of genes associated with aging'
PTPN1	'Changes in gene activity protect against age-related impairment'
